Organoid,drug_name,IC50,AUC,Classification,SMILES,uniqueID
P20,ABT-263,21789.98668,0.9716415,0,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,27
P19a,PF477736,0.001426193,0.4725,1,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)[C@@H](C5CCCCC5)N)N2,57
P6,Embelin,27298.72528,0.952375,1,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,44
P9,Gemcitibine,0.004407712,0.281666667,1,C1=NC(=NC(=O)N1[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F)N,8
P23,JNJ-26854165,847542.3517,0.965306,0,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,6
P18,Fulvestrant,83553.50604,0.995882667,0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,73
P19b,NVP-BEZ235,0.056845658,0.837875,0,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,22
P16,PF-02341066,14799.77549,0.992820667,0,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,68
P11,Nilotinib,100429.9837,0.993237,0,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,30
P7,Vorinostat,5.036700737,0.679166667,1,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,5
P25,UNC0642,5837.187128,0.994712,0,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)N5CCC(CC5)(F)F,24
P8,SL 0101-1,0.206031539,0.475833333,1,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,72
P20,NVP-BEZ235,0.258138687,0.771854167,1,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,22
P11,LY317615,501177.7456,0.975375,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,56
P14,MLN8237,10.64195318,0.6095,1,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,61
P28,LY317615,52000.87496,0.935375,1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,56
P11,YK 4-279,151237.2008,0.8916875,0,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,64
P7,BMN-673,56.29828402,0.629583333,1,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,52
P17,SCH772984,3995.544517,0.7874375,1,C1CN(C[C@@H]1C(=O)NC2=CC3=C(C=C2)NN=C3C4=CC=NC=C4)CC(=O)N5CCN(CC5)C6=CC=C(C=C6)C7=NC=CC=N7,16
P24a,NVP-BEZ235,0.673579682,0.817875,0,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,22
P19a,GSK269962A,249.4205021,0.86875,1,CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6,47
P16,Temozolomide,71816984.7,0.994070333,0,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,53
P31,5-Fluorouracil,15990373.07,0.992613,0,C1=C(C(=O)NC(=O)N1)F,1
P18,NVP-BEZ235,0.070600784,0.813708333,1,CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5,22
P25,PF-4708671,11452.66276,0.8605625,1,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,43
P14,Obatoclax Mesylate,0.716604064,0.473921545,0,CC1=CC(=C(N1)/C=C\2/C(=C/C(=C/3\C=C4C=CC=CC4=N3)/N2)OC)C.CS(=O)(=O)O,35
P17,CEP-701,0.024475405,0.484375,1,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,67
P9,AZD6482,339865.3011,0.989116333,0,CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,40
P18,SGC0946,9360.349485,0.995387,0,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,23
P11,PD-173074,68071.13451,0.992612,0,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,46
P14,YK 4-279,419.3962478,0.689225,1,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,64
P28,AZD6482,357850.2325,0.955120667,0,CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,40
P26,CHIR-99021,7304182.684,0.990933,0,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,41
P10,BX-795,226.6091623,0.792083333,1,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,12
P23,AZD6482,176700.4678,0.986431,0,CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,40
P16,Gemcitibine,12.62282617,0.6725,0,C1=NC(=NC(=O)N1[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F)N,8
P26,PD-0332991,36582.433,0.951083333,0,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,29
P11,5-Fluorouracil,16351274.15,0.9896685,0,C1=C(C(=O)NC(=O)N1)F,1
P28,Oxaliplatin,332301.7362,0.850666667,1,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],13
P17,GDC-0449,194111.1572,0.89021875,1,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,65
P10,Cisplatin,35.78717437,0.748291667,1,N.N.Cl[Pt]Cl,74
P14,PD-0332991,3045.413931,0.900375,0,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,29
P7,Fulvestrant,11044.99293,0.935074667,1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,73
P24a,17-AAG,6.65620422,0.857458333,0,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,71
P17,5-Fluorouracil,9655.842316,0.87,0,C1=C(C(=O)NC(=O)N1)F,1
P20,AZD6482,43369.89691,0.905520833,1,CC1=CN2C(=O)C=C(N=C2C(=C1)[C@@H](C)NC3=CC=CC=C3C(=O)O)N4CCOCC4,40
P9,PD-0332991,125.4946327,0.865791667,1,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,29
P18,AZD8931,0.110266984,0.536666667,1,CNC(=O)CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC,60
P10,JNJ-26854165,12516.64844,0.878708333,0,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,6
P7,Embelin,752987.7791,0.984617,0,CCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,44
P6,MK-2206,100946.4389,0.973556,0,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,10
P16,LY317615,9111.954028,0.930208333,1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,56
P19a,SB 216763,89935.60688,0.963125,1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,55
P7,CEP-701,0.294589247,0.574583333,1,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,67
P28,SB-505124,1002928.827,0.9867,0,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,42
P18,MK-2206,204632.6644,0.975912333,0,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,10
P23,Mirin,156240391.6,0.983306,0,C1=CC(=CC=C1/C=C\2/C(=O)N=C(S2)N)O,2
P14,SGC0946,2519.142376,0.9838874,0,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,23
P25,GDC0941,35.14234071,0.803125,1,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6,66
P28,SB 216763,90094.7011,0.956583333,1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,55
P19b,PF-562271,28.0349912,0.721666667,1,CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,51
P26,MK-2206,1260381.301,0.995878667,0,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,10
P8,5-Fluorouracil,31406.13638,0.912041667,0,C1=C(C(=O)NC(=O)N1)F,1
P19b,ZM-447439,48986.36477,0.973079,0,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,62
P11,(5Z)-7-Oxozeaenol,120066.2362,0.9505625,0,C[C@H]1C/C=C\C(=O)[C@H]([C@H](C/C=C/C2=C(C(=CC(=C2)OC)O)C(=O)O1)O)O,69
P16,PF477736,11.59084741,0.920708333,0,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)[C@@H](C5CCCCC5)N)N2,57
P23,SB 216763,48675.91761,0.9535625,1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,55
P19a,EHT 1864,1503.781954,0.884541667,0,C1COCCN1CC2=CC(=O)C(=CO2)OCCCCCSC3=C4C=CC(=CC4=NC=C3)C(F)(F)F.Cl.Cl,19
P11,Camptothecin,56.51337749,0.9896125,0,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,50
P7,EHT 1864,5759437.311,0.994145333,0,C1COCCN1CC2=CC(=O)C(=CO2)OCCCCCSC3=C4C=CC(=CC4=NC=C3)C(F)(F)F.Cl.Cl,19
P6,AMG-706,2158.281183,0.9498125,1,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C.OP(=O)(O)O.OP(=O)(O)O,28
P19b,5-Fluorouracil,11522110.85,0.992820333,0,C1=C(C(=O)NC(=O)N1)F,1
P19a,UNC0642,7.415167825,0.917041667,1,CC(C)N1CCC(CC1)NC2=NC(=NC3=CC(=C(C=C32)OC)OCCCN4CCCC4)N5CCC(CC5)(F)F,24
P17,KU-55933,666279.7549,0.9648065,0,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,18
P19a,PF-4708671,62.53269114,0.788333333,1,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,43
P17,Docetaxel,0.000230386,0.824375,1,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,34
P7,Paclitaxel,0.001681103,0.905625,1,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,33
P19a,GW 441756,3497.456151,0.968458333,0,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC=N4)NC3=O,54
P7,SB-505124,1132220.114,0.98495,0,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,42
P11,PD-0332991,98122.34057,0.9609935,0,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,29
P20,BMN-673,1422057.058,0.9867,0,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,52
P17,PD-0332991,34.75875236,0.754375,1,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,29
P6,SB-505124,116840.447,0.9418125,0,CC1=NC(=CC=C1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4,42
P25,BX-795,11543.82648,0.9368125,0,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,12
P24a,PD-173074,80748.80541,0.993654,0,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,46
P19b,SGC0946,707.3158292,0.984616667,0,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)C[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,23
P25,Gefitinib,32.29789363,0.9286875,1,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,63
P23,FK866,8407.296559,0.9883065,0,C1CN(CCC1CCCCNC(=O)/C=C/C2=CN=CC=C2)C(=O)C3=CC=CC=C3,14
P16,Sorafenib,3416.577057,0.953458333,0,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,59
P31,AMG-706,88575.15455,0.9926125,0,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C.OP(=O)(O)O.OP(=O)(O)O,28
P16,KU-55933,87450.99717,0.960708333,0,C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4,18
P23,CHIR-99021,3894.437456,0.8811875,1,CC1=CN=C(N1)C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)Cl)NCCNC4=NC=C(C=C4)C#N,41
P19a,5-Fluorouracil,199.1345832,0.765833333,1,C1=C(C(=O)NC(=O)N1)F,1
P6,YK 4-279,64.84515998,0.78875,1,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,64
P19b,BX-795,2039.263531,0.902875,0,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,12
P14,PF-562271,9935.411841,0.76165,1,CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,51
P18,OSI-906,27.53311498,0.85375,1,CC1(CC(C1)C2=NC(=C3N2C=CN=C3N)C4=CC5=C(C=C4)C=CC(=N5)C6=CC=CC=C6)O,26
P17,PLX4720,656683.6459,0.965028,0,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,45
P20,YK 4-279,1113.540227,0.875791667,0,COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O,64
P10,FK866,1772.129285,0.971375,1,C1CN(CCC1CCCCNC(=O)/C=C/C2=CN=CC=C2)C(=O)C3=CC=CC=C3,14
P24a,PD-0332991,254152.9046,0.989949667,0,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,29
P11,CEP-701,29342.05983,0.983431,0,C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O,67
P8,SB 216763,5799407.295,0.994712,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,55
P28,BX-795,19.63323875,0.794166667,1,C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I,12
P26,PAC-1,5198274.196,0.986608333,0,C=CCC1=C(C(=CC=C1)/C=N/NC(=O)CN2CCN(CC2)CC3=CC=CC=C3)O,21
P26,Bortezomib,0.023368969,0.956458333,0,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0
P20,JNK Inhibitor VIII,738128.4689,0.983033,0,CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N,48
P26,GW 441756,54061.85228,0.970954,0,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC=N4)NC3=O,54
P19b,Mirin,212856803.1,0.932745667,0,C1=CC(=CC=C1/C=C\2/C(=O)N=C(S2)N)O,2
P19b,Axitinib,37388.62362,0.973495667,0,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,58
P26,Lenalidomide,597016.0594,0.989729667,0,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,9
P18,FK866,36319.14661,0.994145333,0,C1CN(CCC1CCCCNC(=O)/C=C/C2=CN=CC=C2)C(=O)C3=CC=CC=C3,14
P19a,Bortezomib,0.000827395,0.860375,1,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0
P10,(5Z)-7-Oxozeaenol,77450.70476,0.958041667,0,C[C@H]1C/C=C\C(=O)[C@H]([C@H](C/C=C/C2=C(C(=CC(=C2)OC)O)C(=O)O1)O)O,69
P14,MK-2206,20190.41776,0.942958333,0,C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N,10
P18,PD-173074,153641.6164,0.994220333,0,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C,46
P28,Mirin,21569559.27,0.958041667,0,C1=CC(=CC=C1/C=C\2/C(=O)N=C(S2)N)O,2
P9,SL 0101-1,0.392901001,0.514583333,1,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C,72
P19b,Lenalidomide,445128.9239,0.990404,0,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,9
P10,BMN-673,468.7372179,0.807083333,1,CN1C(=NC=N1)[C@@H]2[C@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,52
P18,JNJ-26854165,9437913.213,0.993720667,0,C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4,6
P26,Oxaliplatin,35363803.39,0.991191667,0,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],13
P18,AICAR,5.482673141,0.3,1,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N,7
P31,ABT-263,289581.2374,0.996462,0,CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C,27
P24a,PF-562271,340.5866479,0.834375,0,CN(C1=C(C=CC=N1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C,51
P9,PF-4708671,235.5942351,0.82125,1,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,43
P23,Axitinib,57938.16155,0.965306,0,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,58
P18,Oxaliplatin,14913270.73,0.990367,0,C1CC[C@H]([C@@H](C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],13
P24a,LY317615,579300.4797,0.982125,0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,56
P8,Temozolomide,74760067.85,0.992576667,0,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,53
P24a,PF-02341066,18488.05822,0.993654667,0,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,68
P10,SB 216763,10556.87671,0.911625,1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl,55
P9,MLN8237,2.941986216,0.658333333,1,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,61
P11,XAV 939,824002.6871,0.9933495,0,C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,20
